Question,Answer,Topic,Tags
What is the fundamental difference between a Window Function and a `GROUP BY` aggregation?,<b>ANSWER:</b> Preserving individual rows vs. collapsing rows.<br><br>• <b>`GROUP BY`:</b> Collapses 100 rows into a single summary row per group.<br>• <b>Window Function:</b> Computes an aggregate (like a running total or rank) across a group of rows while <b>keeping every individual row distinct</b> in the output.,Window Functions,sql window_functions groupby analytics
"What is the difference between `ROW_NUMBER()`, `RANK()`, and `DENSE_RANK()`?","<b>ANSWER:</b> How they handle ties (identical values).<br><br><b>Example with scores [100, 100, 90]:</b><br>• <b>`ROW_NUMBER()`:</b> Sequential without ties -> `1, 2, 3`<br>• <b>`RANK()`:</b> Assigns same rank to ties, leaves gaps -> `1, 1, 3` (skips 2)<br>• <b>`DENSE_RANK()`:</b> Assigns same rank to ties, NO gaps -> `1, 1, 2`",Window Functions,sql window_functions row_number rank dense_rank
"How do `LEAD()` and `LAG()` work, and how do you handle missing edge values?","<b>ANSWER:</b> Accessing subsequent or preceding rows without a self-join.<br><br><b>Syntax:</b><br><code>LAG(salary, 1, 0) OVER (ORDER BY hire_date)</code><br>• 1st param: Column to inspect.<br>• 2nd param: Offset (1 = previous row).<br>• 3rd param: Default fallback if no row exists (avoids `NULL` for the first row).",Window Functions,sql window_functions lead lag analytics
How do you calculate a Running Cumulative Total in SQL?,"<b>ANSWER:</b> Use `SUM(...) OVER (ORDER BY date)`.<br><br><b>The SQL:</b><br><code>SELECT order_date, amount, <br>       SUM(amount) OVER (ORDER BY order_date) AS running_total <br>FROM orders;</code><br>Adding `ORDER BY` inside `OVER()` implicitly sets the window frame from the start of the table to the current row.",Window Functions,sql window_functions running_total sum
What is the difference between `ROWS BETWEEN` and `RANGE BETWEEN` in window frames?,<b>ANSWER:</b> Physical row counts vs. Logical value ranges.<br><br>• <b>`ROWS BETWEEN 1 PRECEDING AND 1 FOLLOWING`:</b> Exactly 1 physical row before and 1 physical row after.<br>• <b>`RANGE BETWEEN`:</b> Evaluates values of the `ORDER BY` column (includes all rows with identical tie values in the calculation).,Window Functions,sql window_functions window_frames rows range
How do you calculate a 3-Day Moving Average in SQL?,"<b>ANSWER:</b> Use `AVG()` with an explicit `ROWS` frame.<br><br><b>The SQL:</b><br><code>SELECT sale_date, amount, <br>       AVG(amount) OVER ( <br>           ORDER BY sale_date <br>           ROWS BETWEEN 2 PRECEDING AND CURRENT ROW <br>       ) AS moving_avg_3day <br>FROM daily_sales;</code>",Window Functions,sql window_functions moving_average frame
Why can you NOT use a Window Function directly inside a `WHERE` or `HAVING` clause?,"<b>ANSWER:</b> Logical Query Processing Order.<br><br>Window functions are evaluated in Step 5 (after `FROM`, `WHERE`, `GROUP BY`, and `HAVING`). The `WHERE` clause filters rows BEFORE window functions even exist. To filter by a window result (e.g. `WHERE rank = 1`), you must wrap it in a <b>CTE or Subquery</b>.",Window Functions,sql window_functions execution_order where gotcha
What does `NTILE(4)` do in SQL?,"<b>ANSWER:</b> Divides an ordered dataset into 4 roughly equal quartiles (buckets 1, 2, 3, 4).<br><br><b>Example:</b><br><code>SELECT employee_id, salary, NTILE(4) OVER (ORDER BY salary) AS quartile <br>FROM employees;</code><br>Identifies top 25% earners (quartile 4) vs lowest 25% (quartile 1).",Window Functions,sql window_functions ntile percentiles
Why does `LAST_VALUE(col) OVER (ORDER BY date)` often return the current row instead of the true last row?,"<b>ANSWER:</b> The default window frame stops at `CURRENT ROW`.<br><br>By default, `ORDER BY` creates a frame of <code>RANGE BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW</code>. The 'last value' up to the current row IS the current row! To get the true last value, specify: <code>ROWS BETWEEN CURRENT ROW AND UNBOUNDED FOLLOWING</code>.",Window Functions,sql window_functions last_value gotcha
How do you find the Top 3 earners in EACH department using SQL?,"<b>ANSWER:</b> Use `DENSE_RANK()` inside a CTE partitioned by department.<br><br><b>The SQL:</b><br><code>WITH ranked_emp AS ( <br>    SELECT name, dept_id, salary, <br>           DENSE_RANK() OVER (PARTITION BY dept_id ORDER BY salary DESC) as rnk <br>    FROM employees <br>) <br>SELECT * FROM ranked_emp WHERE rnk &lt;= 3;</code>",Window Functions,sql window_functions dense_rank top_n
